Tip Matrice,Nr threads,Timp executie
5,4,0
,4,0
5,4,0
5,4,15.98162
5,4,16.34067
5,4,19.22609
5,4,27.3496
10,4,0.0919799
10,4,66.40796
10,4,16.75118
10,4,18.68266
10,2,27.15869
10,2,22.7942
10,4,27.83439
10,8,34.59989
10,16,33.35428
10,2,14.99563
10,4,16.90476
10,8,30.42775
10,16,50.1259695
10,2,38.1619494
10,4,29.14125
10,8,29.32877
10,16,35.33137
10,4,0.96777
10,4,0.08973
10,4,0.09013
10,4,63.71126
10,4,19.69986
10,4,17.42114
10,2,16.56026
10,4,18.29908
10,6,22.42026
10,8,31.19008
10,16,48.11143
10,2,21.22965
10,4,28.17377
10,8,32.51243
10,16,34.97209
10,2,36.87857
10,4,26.66319
10,8,29.0851
10,16,36.18644
10,4,27.27768
10,4,0.9046
10,4,2.06146
10,4,2.04773
10,4,2.16764
10,4,2.2068
10,4,2.03553
